k,group,value,n,events,prevalence,selection_rate,precision_at_k,precision_ci_low,precision_ci_high,recall_at_k,recall_ci_low,recall_ci_high,fnr_at_k,fnr_ci_low,fnr_ci_high,roc_auc,pr_auc
0.1,gender_children,female_no_children,2213,297,0.1342069588793493,0.13149570718481698,0.27147766323024053,0.21926910299003322,0.32036606106571974,0.265993265993266,0.22324253380218909,0.31659173570418264,0.734006734006734,0.6834082642958172,0.7767574661978108,0.6489266358786192,0.23153396748807556
0.1,gender_children,not_coded_female_children,2526,246,0.09738717339667459,0.050673000791765635,0.328125,0.2446043165467626,0.40809046587215597,0.17073170731707318,0.12608844312742193,0.2156871448863636,0.8292682926829268,0.7843128551136364,0.8739115568725782,0.6685476394237626,0.20454903493874999
0.1,gender_children,not_coded_female_no_children,2553,320,0.12534273403838622,0.11084998041519781,0.20848056537102475,0.16520709307390735,0.2518248175182482,0.184375,0.14354073482428115,0.21853168383340793,0.815625,0.7814683161665921,0.8564592651757189,0.6346094099865651,0.18666343291987225
0.2,gender_group,female,4174,538,0.12889314805941543,0.24365117393387636,0.22418879056047197,0.19851947310335283,0.2531403674906964,0.42379182156133827,0.38679109182812016,0.4639665695460085,0.5762081784386617,0.5360334304539914,0.6132089081718799,0.6426168406803506,0.22039486623500004
0.2,gender_group,not_coded_female,5079,566,0.11143925969679071,0.1642055522740697,0.2158273381294964,0.18808939697374277,0.2466175931021831,0.31802120141342755,0.28251085944771953,0.3546140632157581,0.6819787985865724,0.6453859367842418,0.7174891405522805,0.6554723339484911,0.19006116977034698
0.2,female_binary,0.0,5079,566,0.11143925969679071,0.1642055522740697,0.2158273381294964,0.18827324142806645,0.24425595238095235,0.31802120141342755,0.27746154447961674,0.3553630418338328,0.6819787985865724,0.6446369581661672,0.7225384555203832,0.6554723339484911,0.19006116977034698
0.2,female_binary,1.0,4174,538,0.12889314805941543,0.24365117393387636,0.22418879056047197,0.19854277232151935,0.25,0.42379182156133827,0.3851526025741958,0.4628107654044438,0.5762081784386617,0.5371892345955561,0.6148473974258042,0.6426168406803506,0.22039486623500004
0.2,has_children_any,0.0,4766,617,0.12945866554762903,0.23143096936634494,0.2257479601087942,0.20116120218579234,0.2501189936536718,0.4035656401944895,0.36522488272304854,0.4390814708629265,0.5964343598055105,0.5609185291370735,0.6347751172769515,0.641221664785758,0.20665144041242117
0.2,has_children_any,1.0,4487,487,0.10853577000222867,0.16670381100958323,0.21256684491978609,0.18181319830517623,0.24081700589689936,0.3264887063655031,0.2841103734439834,0.367631773716051,0.6735112936344969,0.6323682262839491,0.7158896265560166,0.6577366529774128,0.20258202236381706
0.2,income_group_traincut,high,2183,153,0.0700870361887311,0.03618873110398534,0.21518987341772153,0.12792628443782578,0.31458465440710204,0.1111111111111111,0.06620614035087719,0.16357929136566907,0.8888888888888888,0.8364207086343309,0.9337938596491228,0.653213239318716,0.13944089652318992
0.2,income_group_traincut,low,3443,548,0.1591635201858844,0.3688643624745861,0.22913385826771654,0.20327605336756682,0.25029907907992255,0.531021897810219,0.4897343548982893,0.5735014850148501,0.468978102189781,0.4264985149851499,0.5102656451017107,0.6229904945602158,0.2380481090541396
0.2,income_group_traincut,middle,3627,403,0.1111111111111111,0.1384063964709126,0.199203187250996,0.1655059348347286,0.2340979555500982,0.24813895781637718,0.20494324214216933,0.28535372238539136,0.7518610421836228,0.7146462776146085,0.7950567578578307,0.5979690934615692,0.17101144187158043
0.2,education_s,1.0,113,25,0.22123893805309736,0.336283185840708,0.3684210526315789,0.21608187134502924,0.5151515151515151,0.56,0.3479807692307692,0.75,0.43999999999999995,0.25,0.6520192307692307,0.625909090909091,0.3986214687975371
0.2,education_s,2.0,2060,275,0.13349514563106796,0.3053398058252427,0.19395866454689983,0.16679252782193957,0.22840506768483165,0.44363636363636366,0.38307805396163364,0.503665458937198,0.5563636363636364,0.49633454106280195,0.6169219460383664,0.6073705118411,0.18902487985689956
0.2,education_s,3.0,2361,320,0.1355357899195256,0.27996611605252014,0.22390317700453857,0.19244897959183674,0.25666352174285956,0.4625,0.40832687118086786,0.5122761333832896,0.5375,0.4877238666167104,0.591673128819132,0.6389453699167074,0.2199865964542544
0.2,education_s,4.0,2745,303,0.11038251366120219,0.14571948998178508,0.225,0.18601256904871755,0.27284902597402594,0.297029702970297,0.25331030701754387,0.3464174836601307,0.7029702970297029,0.6535825163398693,0.7466896929824561,0.6489263791243989,0.19892939776760066
0.2,education_s,5.0,1974,181,0.0916919959473151,0.06231003039513678,0.2764227642276423,0.19890894281059762,0.36059902740937216,0.1878453038674033,0.12833672086720868,0.24656357388316147,0.8121546961325967,0.7534364261168385,0.8716632791327913,0.6774195536355317,0.20356834310310062
0.2,gender_children,female_children,1961,241,0.12289648138704742,0.23151453340132586,0.2026431718061674,0.16398692208509855,0.24104407199237055,0.3817427385892116,0.3218791451731761,0.4405123108042129,0.6182572614107884,0.5594876891957872,0.6781208548268239,0.6348294412814822,0.20845241627207844
0.2,gender_children,female_no_children,2213,297,0.1342069588793493,0.254405784003615,0.24156305506216696,0.20748786762022914,0.28081751329762183,0.45791245791245794,0.40497154071381697,0.5083729648072511,0.5420875420875421,0.4916270351927488,0.5950284592861831,0.6489266358786192,0.23153396748807556
