desired_wfh_days,planned_wfh_days,predicted_dissatisfaction,nearest_quarter_desired,nearest_quarter_planned,nearest_cell_n
2.6666666666666665,2.9166666666666665,0.1323048572385725,2.75,3.0,0
2.6666666666666665,3.0,0.13087395884644887,2.75,3.0,0
2.6666666666666665,3.083333333333333,0.12945892053427896,2.75,3.0,0
2.6666666666666665,3.1666666666666665,0.12805974230206285,2.75,3.25,0
2.6666666666666665,3.25,0.12667642414980063,2.75,3.25,0
2.6666666666666665,3.333333333333333,0.12530896607749212,2.75,3.25,0
2.6666666666666665,3.4166666666666665,0.12395736808513749,2.75,3.5,0
2.6666666666666665,3.5,0.12262163017273664,2.75,3.5,0
2.6666666666666665,3.583333333333333,0.12130175234028964,2.75,3.5,0
2.6666666666666665,3.6666666666666665,0.11999773458779645,2.75,3.75,0
2.6666666666666665,3.75,0.11870957691525702,2.75,3.75,0
2.6666666666666665,3.833333333333333,0.11743727932267142,2.75,3.75,0
2.6666666666666665,3.9166666666666665,0.11618084181003963,2.75,4.0,0
2.6666666666666665,4.0,0.11494026437736166,2.75,4.0,0
2.6666666666666665,4.083333333333333,0.11371554702463746,2.75,4.0,0
2.6666666666666665,4.166666666666666,0.11250668975186712,2.75,4.25,0
2.6666666666666665,4.25,0.11131369255905058,2.75,4.25,0
2.6666666666666665,4.333333333333333,0.11013655544618778,2.75,4.25,0
2.6666666666666665,4.416666666666666,0.10897527841327889,2.75,4.5,0
2.6666666666666665,4.5,0.10782986146032375,2.75,4.5,0
2.6666666666666665,4.583333333333333,0.10670030458732246,2.75,4.5,0
2.6666666666666665,4.666666666666666,0.10558660779427492,2.75,4.75,0
2.6666666666666665,4.75,0.10448877108118124,2.75,4.75,0
2.6666666666666665,4.833333333333333,0.10340679444804138,2.75,4.75,0
2.6666666666666665,4.916666666666666,0.10234067789485526,2.75,5.0,0
2.6666666666666665,5.0,0.10129042142162299,2.75,5.0,0
2.75,0.0,0.19537949012536998,2.75,0.0,0
2.75,0.08333333333333333,0.19332827038541575,2.75,0.0,0
2.75,0.16666666666666666,0.19129291072541535,2.75,0.25,0
2.75,0.25,0.18927341114536878,2.75,0.25,0
2.75,0.3333333333333333,0.18726977164527597,2.75,0.25,0
2.75,0.41666666666666663,0.185281992225137,2.75,0.5,0
2.75,0.5,0.18331007288495182,2.75,0.5,0
2.75,0.5833333333333333,0.18135401362472045,2.75,0.5,0
2.75,0.6666666666666666,0.17941381444444293,2.75,0.75,0
2.75,0.75,0.17748947534411919,2.75,0.75,0
2.75,0.8333333333333333,0.17558099632374924,2.75,0.75,0
2.75,0.9166666666666666,0.17368837738333312,2.75,1.0,0
2.75,1.0,0.1718116185228708,2.75,1.0,0
2.75,1.0833333333333333,0.16995071974236237,2.75,1.0,0
2.75,1.1666666666666665,0.16810568104180768,2.75,1.25,0
2.75,1.25,0.16627650242120678,2.75,1.25,0
2.75,1.3333333333333333,0.1644631838805597,2.75,1.25,0
2.75,1.4166666666666665,0.1626657254198664,2.75,1.5,0
2.75,1.5,0.16088412703912697,2.75,1.5,0
2.75,1.5833333333333333,0.1591183887383413,2.75,1.5,0
2.75,1.6666666666666665,0.15736851051750947,2.75,1.75,0
2.75,1.75,0.15563449237663143,2.75,1.75,0
2.75,1.8333333333333333,0.1539163343157072,2.75,1.75,0
2.75,1.9166666666666665,0.1522140363347368,2.75,2.0,0
2.75,2.0,0.1505275984337202,2.75,2.0,0
2.75,2.083333333333333,0.14885702061265738,2.75,2.0,0
2.75,2.1666666666666665,0.1472023028715484,2.75,2.25,0
2.75,2.25,0.14556344521039322,2.75,2.25,0
2.75,2.333333333333333,0.14394044762919186,2.75,2.25,0
2.75,2.4166666666666665,0.1423333101279443,2.75,2.5,0
2.75,2.5,0.14074203270665053,2.75,2.5,0
2.75,2.583333333333333,0.13916661536531064,2.75,2.5,0
2.75,2.6666666666666665,0.13760705810392446,2.75,2.75,0
